1000,0.00
1100,0.93
1200,2.27
1300,3.20
1400,3.77
1500,4.19
1600,4.52
1700,4.73
1800,4.82
1900,5.00
2000,5.06
2100,5.06
2200,5.12
2300,5.18
2400,5.12
2500,5.21
2600,5.18
2700,5.15
2800,5.21
2900,5.21
3000,5.15
3100,5.21
3200,5.15
3300,5.21
3400,5.21
3500,5.15
3600,5.21
3700,5.21
3800,5.15
3900,5.21
4000,5.21
4100,5.15
4200,5.21
4300,5.21
4400,5.15
4500,5.21
4600,5.21
4700,5.15
4800,5.21
4900,5.21
5000,5.15
5100,5.21
5200,5.21
5300,5.15
5400,5.21
5500,5.21
5600,5.15
5700,5.21
5800,5.21
5900,5.15
6000,5.21
6100,5.21
6200,5.15
6300,5.21
6400,5.15
6500,5.21
6600,5.21
6700,5.15
6800,5.21
6900,5.21
7000,5.15
7100,5.21
7200,5.21
7300,5.15
7400,5.21
7500,5.18
7600,5.18
7700,5.18
7800,5.21
7900,5.15
8000,5.21
8100,5.21
8200,5.15
8300,5.21
8400,5.21
8500,5.18
8600,5.21
8700,5.21
8800,5.18
8900,5.24
9000,5.27
9100,5.18
9200,5.24
9300,5.27
9400,5.21
9500,5.24
9600,5.21
9700,5.24
9800,5.27
9900,5.21
10000,5.27
10100,5.24
10200,5.21
10300,5.24
10400,5.24
10500,5.21
10600,5.27
10700,5.24
10800,5.21
10900,5.27
11000,5.27
11100,5.21
11200,5.24
11300,4.67
11400,3.86
11500,3.20
11600,2.51
11700,1.83
11800,1.26
11900,0.78
12000,0.36
12100,0.03
12200,0.00
12300,0.00
12400,0.00
12500,0.00
12600,0.00
12700,0.00
12800,0.00
12900,0.00
13000,0.00
13100,0.00
13200,0.00
13300,0.00
13400,0.00
13500,0.00
13600,0.00
